Capital,Kanji,"Major_Island",Prefecture,Region
Nagoya,"愛知県",Honshu,Aichi,Chubu
Akita,"秋田県",Honshu,Akita,Tohoku
Aomori,"青森県",Honshu,Aomori,Tohoku
Chiba,"千葉県",Honshu,Chiba,Kanto
Matsuyama,"愛媛県",Shikoku,Ehime,Shikoku
Fukui,"福井県",Honshu,Fukui,Chubu
Fukuoka,"福岡県",Kyushu,Fukuoka,Kyushu
Fukushima,"福島県",Honshu,Fukushima,Tohoku
Gifu,"岐阜県",Honshu,Gifu,Chubu
Maebashi,"群馬県",Honshu,Gunma,Kanto
Hiroshima,"広島県",Honshu,Hiroshima,Chugoku
Sapporo,"北海道",Hokkaido,Hokkaido,Hokkaido
Kobe,"兵庫県",Honshu,Hyogo,Kansai
Mito,"茨城県",Honshu,Ibaraki,Kanto
Kanazawa,"石川県",Honshu,Ishikawa,Chubu
Morioka,"岩手県",Honshu,Iwate,Tohoku
Takamatsu,"香川県",Shikoku,Kagawa,Shikoku
Kagoshima,"鹿児島県",Kyushu,Kagoshima,Kyushu
Yokohama,"神奈川県",Honshu,Kanagawa,Kanto
Kochi,"高知県",Shikoku,Kochi,Shikoku
Kumamoto,"熊本県",Kyushu,Kumamoto,Kyushu
Kyoto,"京都府",Honshu,Kyoto,Kansai
Tsu,"三重県",Honshu,Mie,Kansai
Sendai,"宮城県",Honshu,Miyagi,Tohoku
Miyazaki,"宮崎県",Kyushu,Miyazaki,Kyushu
Nagano,"長野県",Honshu,Nagano,Chubu
Nagasaki,"長崎県",Kyushu,Nagasaki,Kyushu
Nara,"奈良県",Honshu,Nara,Kansai
Niigata,"新潟県",Honshu,Niigata,Chubu
Oita,"大分県",Kyushu,Oita,Kyushu
Okayama,"岡山県",Honshu,Okayama,Chugoku
Naha,"沖縄県","Ryukyu Islands",Okinawa,Kyushu
Osaka,"大阪府",Honshu,Osaka,Kansai
Saga,"佐賀県",Kyushu,Saga,Kyushu
Saitama,"埼玉県",Honshu,Saitama,Kanto
Otsu,"滋賀県",Honshu,Shiga,Kansai
Matsue,"島根県",Honshu,Shimane,Chugoku
Shizuoka,"静岡県",Honshu,Shizuoka,Chubu
Utsunomiya,"栃木県",Honshu,Tochigi,Kanto
Tokushima,"徳島県",Shikoku,Tokushima,Shikoku
Shinjuku,"東京都",Honshu,Tokyo,Kanto
Tottori,"鳥取県",Honshu,Tottori,Chugoku
Toyama,"富山県",Honshu,Toyama,Chubu
Wakayama,"和歌山県",Honshu,Wakayama,Kansai
Yamagata,"山形県",Honshu,Yamagata,Tohoku
Yamaguchi,"山口県",Honshu,Yamaguchi,Chugoku
Kofu,"山梨県",Honshu,Yamanashi,Chubu
